country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
MA,KE,EG,NG,49.2,0.0,12.2,EL_Demand_[KE]
MA,KE,EG,NG,49.2,0.0,5.8,HTH_Demand_[KE]
MA,KE,EG,NG,49.2,0.0,0.0,RE_PV_Rooftop_Lim_[EG]
MA,KE,EG,NG,49.2,1.0,31.2,RE_PV_Openfield_Lim_[EG]
MA,KE,EG,NG,49.2,6.8,155.1,RE_WIND_Onshore_Lim_[EG]
MA,KE,EG,NG,49.2,0.0,0.0,RE_WIND_Offshore_Lim_[EG]
MA,KE,EG,NG,49.2,0.2,4.0,PP_CO2_[EG]
MA,KE,EG,NG,49.2,0.2,12.5,BESS_[EG]
MA,KE,EG,NG,49.2,0.4,39.9,EL_to_HTH_[EG]
MA,KE,EG,NG,49.2,0.0,0.0,EL_to_NH3_[EG]
MA,KE,EG,NG,49.2,0.0,0.0,NH3_Storage_[EG]
MA,KE,EG,NG,49.2,0.0,0.0,NH3_to_EL_[EG]
MA,KE,EG,NG,49.2,0.0,0.0,NH3_to_HTH_[EG]
MA,KE,EG,NG,49.2,1.7,39.4,FF_to_HTH_[EG]
MA,KE,EG,NG,49.2,0.0,76.9,EL_Demand_[EG]
MA,KE,EG,NG,49.2,0.0,41.1,HTH_Demand_[EG]
MA,KE,EG,NG,49.2,0.0,0.0,RE_PV_Rooftop_Lim_[NG]
MA,KE,EG,NG,49.2,2.9,181.9,RE_PV_Openfield_Lim_[NG]
MA,KE,EG,NG,49.2,6.4,138.0,RE_WIND_Onshore_Lim_[NG]
MA,KE,EG,NG,49.2,0.0,0.0,RE_WIND_Offshore_Lim_[NG]
MA,KE,EG,NG,49.2,0.9,13.8,PP_CO2_[NG]
MA,KE,EG,NG,49.2,1.6,90.2,BESS_[NG]
MA,KE,EG,NG,49.2,0.5,43.5,EL_to_HTH_[NG]
MA,KE,EG,NG,49.2,0.0,0.0,EL_to_NH3_[NG]
MA,KE,EG,NG,49.2,0.0,0.1,NH3_Storage_[NG]
MA,KE,EG,NG,49.2,0.0,0.0,NH3_to_EL_[NG]
MA,KE,EG,NG,49.2,0.0,0.1,NH3_to_HTH_[NG]
MA,KE,EG,NG,49.2,3.1,46.0,FF_to_HTH_[NG]
MA,KE,EG,NG,49.2,0.0,91.3,EL_Demand_[NG]
MA,KE,EG,NG,49.2,0.0,47.1,HTH_Demand_[NG]
MA,KE,EG,NG,49.2,0.0,0.0,NH3_Transport_[MA-KE]
MA,KE,EG,NG,49.2,0.0,0.0,EL_Transport_[MA-KE]
MA,KE,EG,NG,49.2,0.0,0.0,NH3_Transport_[MA-EG]
MA,KE,EG,NG,49.2,0.5,3.8,EL_Transport_[MA-EG]
MA,KE,EG,NG,49.2,0.0,0.0,NH3_Transport_[MA-NG]
MA,KE,EG,NG,49.2,0.8,7.0,EL_Transport_[MA-NG]
MA,KE,EG,NG,49.2,0.0,0.0,NH3_Transport_[KE-EG]
MA,KE,EG,NG,49.2,0.2,2.0,EL_Transport_[KE-EG]
MA,KE,EG,NG,49.2,0.0,0.0,NH3_Transport_[KE-NG]
MA,KE,EG,NG,49.2,0.8,5.9,EL_Transport_[KE-NG]
MA,KE,EG,NG,49.2,0.0,0.0,NH3_Transport_[EG-NG]
MA,KE,EG,NG,49.2,2.9,21.4,EL_Transport_[EG-NG]
