country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
BR,CO,CL,,63.6,0.0,NH3_Storage_[CO]
BR,CO,CL,,63.6,0.0,NH3_to_EL_[CO]
BR,CO,CL,,63.6,0.0,NH3_to_HTH_[CO]
BR,CO,CL,,63.6,0.9,FF_to_HTH_[CO]
BR,CO,CL,,63.6,0.0,EL_Demand_[CO]
BR,CO,CL,,63.6,0.0,HTH_Demand_[CO]
BR,CO,CL,,63.6,0.0,RE_PV_Rooftop_Lim_[CL]
BR,CO,CL,,63.6,0.0,RE_PV_Openfield_Lim_[CL]
BR,CO,CL,,63.6,1.6,RE_WIND_Onshore_Lim_[CL]
BR,CO,CL,,63.6,0.0,RE_WIND_Offshore_Lim_[CL]
BR,CO,CL,,63.6,0.1,PP_CO2_[CL]
BR,CO,CL,,63.6,0.0,BESS_[CL]
BR,CO,CL,,63.6,0.2,EL_to_HTH_[CL]
BR,CO,CL,,63.6,0.0,EL_to_NH3_[CL]
BR,CO,CL,,63.6,0.0,NH3_Storage_[CL]
BR,CO,CL,,63.6,0.0,NH3_to_EL_[CL]
BR,CO,CL,,63.6,0.0,NH3_to_HTH_[CL]
BR,CO,CL,,63.6,0.3,FF_to_HTH_[CL]
BR,CO,CL,,63.6,0.0,EL_Demand_[CL]
BR,CO,CL,,63.6,0.0,HTH_Demand_[CL]
BR,CO,CL,,63.6,0.0,RE_PV_Rooftop_Lim_[BR]
BR,CO,CL,,63.6,3.8,RE_PV_Openfield_Lim_[BR]
BR,CO,CL,,63.6,17.3,RE_WIND_Onshore_Lim_[BR]
BR,CO,CL,,63.6,0.0,RE_WIND_Offshore_Lim_[BR]
BR,CO,CL,,63.6,5.0,PP_CO2_[BR]
BR,CO,CL,,63.6,0.3,BESS_[BR]
BR,CO,CL,,63.6,1.5,EL_to_HTH_[BR]
BR,CO,CL,,63.6,0.0,EL_to_NH3_[BR]
BR,CO,CL,,63.6,0.0,NH3_Storage_[BR]
BR,CO,CL,,63.6,0.0,NH3_to_EL_[BR]
BR,CO,CL,,63.6,0.0,NH3_to_HTH_[BR]
BR,CO,CL,,63.6,6.0,FF_to_HTH_[BR]
BR,CO,CL,,63.6,0.0,EL_Demand_[BR]
BR,CO,CL,,63.6,0.0,HTH_Demand_[BR]
BR,CO,CL,,63.6,0.0,RE_PV_Rooftop_Lim_[CO]
BR,CO,CL,,63.6,0.4,RE_PV_Openfield_Lim_[CO]
BR,CO,CL,,63.6,2.6,RE_WIND_Onshore_Lim_[CO]
BR,CO,CL,,63.6,0.0,RE_WIND_Offshore_Lim_[CO]
BR,CO,CL,,63.6,0.8,PP_CO2_[CO]
BR,CO,CL,,63.6,0.3,BESS_[CO]
BR,CO,CL,,63.6,0.1,EL_to_HTH_[CO]
BR,CO,CL,,63.6,0.0,EL_to_NH3_[CO]
BR,CO,CL,,63.6,0.0,NH3_Storage_[CO]
BR,CO,CL,,63.6,0.0,NH3_to_EL_[CO]
BR,CO,CL,,63.6,0.0,NH3_to_HTH_[CO]
BR,CO,CL,,63.6,0.9,FF_to_HTH_[CO]
BR,CO,CL,,63.6,0.0,EL_Demand_[CO]
BR,CO,CL,,63.6,0.0,HTH_Demand_[CO]
BR,CO,CL,,63.6,0.0,RE_PV_Rooftop_Lim_[CL]
BR,CO,CL,,63.6,0.0,RE_PV_Openfield_Lim_[CL]
BR,CO,CL,,63.6,1.6,RE_WIND_Onshore_Lim_[CL]
BR,CO,CL,,63.6,0.0,RE_WIND_Offshore_Lim_[CL]
BR,CO,CL,,63.6,0.1,PP_CO2_[CL]
BR,CO,CL,,63.6,0.0,BESS_[CL]
BR,CO,CL,,63.6,0.2,EL_to_HTH_[CL]
BR,CO,CL,,63.6,0.0,EL_to_NH3_[CL]
BR,CO,CL,,63.6,0.0,NH3_Storage_[CL]
BR,CO,CL,,63.6,0.0,NH3_to_EL_[CL]
BR,CO,CL,,63.6,0.0,NH3_to_HTH_[CL]
BR,CO,CL,,63.6,0.3,FF_to_HTH_[CL]
BR,CO,CL,,63.6,0.0,EL_Demand_[CL]
BR,CO,CL,,63.6,0.0,HTH_Demand_[CL]
