country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
ID,MY,PH,,247.5,0.1,EL_to_HTH_[PH]
ID,MY,PH,,247.5,0.0,EL_to_NH3_[PH]
ID,MY,PH,,247.5,0.0,NH3_Storage_[PH]
ID,MY,PH,,247.5,0.0,NH3_to_EL_[PH]
ID,MY,PH,,247.5,0.0,NH3_to_HTH_[PH]
ID,MY,PH,,247.5,1.1,FF_to_HTH_[PH]
ID,MY,PH,,247.5,0.0,EL_Demand_[PH]
ID,MY,PH,,247.5,0.0,HTH_Demand_[PH]
ID,MY,PH,,247.5,0.0,NH3_Transport_[ID-MY]
ID,MY,PH,,247.5,0.4,EL_Transport_[ID-MY]
ID,MY,PH,,247.5,0.0,NH3_Transport_[ID-PH]
ID,MY,PH,,247.5,0.9,EL_Transport_[ID-PH]
ID,MY,PH,,247.5,0.0,NH3_Transport_[MY-PH]
ID,MY,PH,,247.5,0.2,EL_Transport_[MY-PH]
ID,MY,PH,,281.5,0.0,RE_PV_Rooftop_Lim_[ID]
ID,MY,PH,,281.5,2.8,RE_PV_Openfield_Lim_[ID]
ID,MY,PH,,281.5,0.0,RE_WIND_Onshore_Lim_[ID]
ID,MY,PH,,281.5,16.8,RE_WIND_Offshore_Lim_[ID]
ID,MY,PH,,281.5,7.3,PP_CO2_[ID]
ID,MY,PH,,281.5,0.0,BESS_[ID]
ID,MY,PH,,281.5,1.2,EL_to_HTH_[ID]
ID,MY,PH,,281.5,0.0,EL_to_NH3_[ID]
ID,MY,PH,,281.5,0.0,NH3_Storage_[ID]
ID,MY,PH,,281.5,0.0,NH3_to_EL_[ID]
ID,MY,PH,,281.5,0.0,NH3_to_HTH_[ID]
ID,MY,PH,,281.5,11.8,FF_to_HTH_[ID]
ID,MY,PH,,281.5,0.0,EL_Demand_[ID]
ID,MY,PH,,281.5,0.0,HTH_Demand_[ID]
ID,MY,PH,,281.5,0.0,RE_PV_Rooftop_Lim_[MY]
ID,MY,PH,,281.5,1.2,RE_PV_Openfield_Lim_[MY]
ID,MY,PH,,281.5,2.3,RE_WIND_Onshore_Lim_[MY]
ID,MY,PH,,281.5,0.0,RE_WIND_Offshore_Lim_[MY]
ID,MY,PH,,281.5,3.1,PP_CO2_[MY]
ID,MY,PH,,281.5,0.1,BESS_[MY]
ID,MY,PH,,281.5,0.1,EL_to_HTH_[MY]
ID,MY,PH,,281.5,0.0,EL_to_NH3_[MY]
ID,MY,PH,,281.5,0.0,NH3_Storage_[MY]
ID,MY,PH,,281.5,0.0,NH3_to_EL_[MY]
ID,MY,PH,,281.5,0.0,NH3_to_HTH_[MY]
ID,MY,PH,,281.5,1.7,FF_to_HTH_[MY]
ID,MY,PH,,281.5,0.0,EL_Demand_[MY]
ID,MY,PH,,281.5,0.0,HTH_Demand_[MY]
ID,MY,PH,,281.5,0.0,RE_PV_Rooftop_Lim_[PH]
ID,MY,PH,,281.5,0.1,RE_PV_Openfield_Lim_[PH]
ID,MY,PH,,281.5,4.1,RE_WIND_Onshore_Lim_[PH]
ID,MY,PH,,281.5,0.0,RE_WIND_Offshore_Lim_[PH]
ID,MY,PH,,281.5,1.3,PP_CO2_[PH]
ID,MY,PH,,281.5,0.1,BESS_[PH]
ID,MY,PH,,281.5,0.1,EL_to_HTH_[PH]
ID,MY,PH,,281.5,0.0,EL_to_NH3_[PH]
ID,MY,PH,,281.5,0.0,NH3_Storage_[PH]
ID,MY,PH,,281.5,0.0,NH3_to_EL_[PH]
ID,MY,PH,,281.5,0.0,NH3_to_HTH_[PH]
ID,MY,PH,,281.5,1.1,FF_to_HTH_[PH]
ID,MY,PH,,281.5,0.0,EL_Demand_[PH]
ID,MY,PH,,281.5,0.0,HTH_Demand_[PH]
ID,MY,PH,,281.5,0.0,NH3_Transport_[ID-MY]
ID,MY,PH,,281.5,0.2,EL_Transport_[ID-MY]
ID,MY,PH,,281.5,0.0,NH3_Transport_[ID-PH]
ID,MY,PH,,281.5,0.9,EL_Transport_[ID-PH]
ID,MY,PH,,281.5,0.0,NH3_Transport_[MY-PH]
ID,MY,PH,,281.5,0.2,EL_Transport_[MY-PH]
ID,MY,PH,,281.5,0.0,RE_PV_Rooftop_Lim_[ID]
ID,MY,PH,,281.5,2.8,RE_PV_Openfield_Lim_[ID]
ID,MY,PH,,281.5,0.0,RE_WIND_Onshore_Lim_[ID]
ID,MY,PH,,281.5,16.8,RE_WIND_Offshore_Lim_[ID]
ID,MY,PH,,281.5,7.3,PP_CO2_[ID]
ID,MY,PH,,281.5,0.0,BESS_[ID]
ID,MY,PH,,281.5,1.2,EL_to_HTH_[ID]
ID,MY,PH,,281.5,0.0,EL_to_NH3_[ID]
ID,MY,PH,,281.5,0.0,NH3_Storage_[ID]
ID,MY,PH,,281.5,0.0,NH3_to_EL_[ID]
ID,MY,PH,,281.5,0.0,NH3_to_HTH_[ID]
ID,MY,PH,,281.5,11.8,FF_to_HTH_[ID]
ID,MY,PH,,281.5,0.0,EL_Demand_[ID]
ID,MY,PH,,281.5,0.0,HTH_Demand_[ID]
ID,MY,PH,,281.5,0.0,RE_PV_Rooftop_Lim_[MY]
ID,MY,PH,,281.5,1.2,RE_PV_Openfield_Lim_[MY]
ID,MY,PH,,281.5,2.3,RE_WIND_Onshore_Lim_[MY]
ID,MY,PH,,281.5,0.0,RE_WIND_Offshore_Lim_[MY]
ID,MY,PH,,281.5,3.1,PP_CO2_[MY]
ID,MY,PH,,281.5,0.1,BESS_[MY]
ID,MY,PH,,281.5,0.1,EL_to_HTH_[MY]
ID,MY,PH,,281.5,0.0,EL_to_NH3_[MY]
ID,MY,PH,,281.5,0.0,NH3_Storage_[MY]
ID,MY,PH,,281.5,0.0,NH3_to_EL_[MY]
ID,MY,PH,,281.5,0.0,NH3_to_HTH_[MY]
ID,MY,PH,,281.5,1.7,FF_to_HTH_[MY]
ID,MY,PH,,281.5,0.0,EL_Demand_[MY]
ID,MY,PH,,281.5,0.0,HTH_Demand_[MY]
ID,MY,PH,,281.5,0.0,RE_PV_Rooftop_Lim_[PH]
ID,MY,PH,,281.5,0.1,RE_PV_Openfield_Lim_[PH]
ID,MY,PH,,281.5,4.1,RE_WIND_Onshore_Lim_[PH]
ID,MY,PH,,281.5,0.0,RE_WIND_Offshore_Lim_[PH]
ID,MY,PH,,281.5,1.3,PP_CO2_[PH]
ID,MY,PH,,281.5,0.1,BESS_[PH]
ID,MY,PH,,281.5,0.1,EL_to_HTH_[PH]
ID,MY,PH,,281.5,0.0,EL_to_NH3_[PH]
ID,MY,PH,,281.5,0.0,NH3_Storage_[PH]
ID,MY,PH,,281.5,0.0,NH3_to_EL_[PH]
ID,MY,PH,,281.5,0.0,NH3_to_HTH_[PH]
ID,MY,PH,,281.5,1.1,FF_to_HTH_[PH]
ID,MY,PH,,281.5,0.0,EL_Demand_[PH]
ID,MY,PH,,281.5,0.0,HTH_Demand_[PH]
ID,MY,PH,,281.5,0.0,NH3_Transport_[ID-MY]
ID,MY,PH,,281.5,0.2,EL_Transport_[ID-MY]
ID,MY,PH,,281.5,0.0,NH3_Transport_[ID-PH]
ID,MY,PH,,281.5,0.9,EL_Transport_[ID-PH]
ID,MY,PH,,281.5,0.0,NH3_Transport_[MY-PH]
ID,MY,PH,,281.5,0.2,EL_Transport_[MY-PH]
